field-modifications,dd5db754-fbba-41af-a632-827220a2a4c1,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:InitialRegistrationDate"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""2025-07-30T14:55:55+00:00"",""context"":null}"
field-modifications,9ef8b4e9-379f-4919-acf5-feff46607ce9,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityCreationDate"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""2022-01-31T00:00:00+00:00"",""context"":null}"
field-modifications,10269fb4-17ca-4e8f-b169-b50232725894,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityStatus"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""ACTIVE"",""context"":null}"
field-modifications,cbc8fa9d-4676-44f7-b68e-508e507d441c,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:LegalForm/lei:EntityLegalFormCode"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""SFYA"",""context"":null}"
field-modifications,7391799c-74c3-4617-8ac3-476637f44f14,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityCategory"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""GENERAL"",""context"":null}"
field-modifications,5cd14202-d07e-4df7-a916-f3d879c87e1a,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:LegalJurisdiction"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""LT"",""context"":null}"
field-modifications,55b7d9b6-baf0-48d5-9eb8-4c6c6035fc28,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:RegistrationAuthority/lei:RegistrationAuthorityEntityID"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""305997233"",""context"":null}"
field-modifications,75d33b72-904b-4c54-b0f1-363bb07759a9,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:RegistrationAuthority/lei:RegistrationAuthorityID"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""RA000430"",""context"":null}"
relationshipType,id,type,attributes
lei-issuer,5299000J2N45DDNE4Y28,lei-issuers,"{""lei"":""5299000J2N45DDNE4Y28"",""name"":""WM Datenservice"",""marketingName"":""WM Datenservice"",""website"":""https://www.wm-leiportal.org/"",""accreditationDate"":""2017-04-13T00:00:00+00:00""}"
managing-lou,5299000J2N45DDNE4Y28,lei-records,"{""lei"":""5299000J2N45DDNE4Y28"",""entity"":{""legalName"":{""name"":""Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann GmbH & Co. KG"",""language"":""de""},""otherNames"":[],""transliteratedOtherNames"":[],""legalAddress"":{""language"":""de"",""addressLines"":[""Sandweg 94""],""addressNumber"":null,""addressNumberWithinBuilding"":null,""mailRouting"":null,""city"":""Frankfurt am Main"",""region"":""DE-HE"",""country"":""DE"",""postalCode"":""60316""},""headquartersAddress"":{""language"":""de"",""addressLines"":[""Sandweg 94""],""addressNumber"":null,""addressNumberWithinBuilding"":null,""mailRouting"":null,""city"":""Frankfurt am Main"",""region"":""DE-HE"",""country"":""DE"",""postalCode"":""60316""},""registeredAt"":{""id"":""RA000242"",""other"":null},""registeredAs"":""HRA 15378"",""jurisdiction"":""DE"",""category"":""GENERAL"",""legalForm"":{""id"":""8Z6G"",""other"":null},""associatedEntity"":{""lei"":null,""name"":null},""status"":""ACTIVE"",""expiration"":{""date"":null,""reason"":null},""successorEntity"":{""lei"":null,""name"":null},""successorEntities"":[],""creationDate"":""2004-11-30T23:00:00Z"",""subCategory"":null,""otherAddresses"":[],""eventGroups"":[{""groupType"":""STANDALONE"",""events"":[{""validationDocuments"":""SUPPORTING_DOCUMENTS"",""effectiveDate"":""2024-10-20T22:00:00Z"",""recordedDate"":""2024-10-21T17:20:18Z"",""type"":""CHANGE_HQ_ADDRESS"",""status"":""COMPLETED""}]},{""groupType"":""STANDALONE"",""events"":[{""validationDocuments"":""SUPPORTING_DOCUMENTS"",""effectiveDate"":""2024-10-20T22:00:00Z"",""recordedDate"":""2024-10-21T17:20:18Z"",""type"":""CHANGE_LEGAL_ADDRESS"",""status"":""COMPLETED""}]}]},""registration"":{""initialRegistrationDate"":""2013-04-03T11:47:18Z"",""lastUpdateDate"":""2025-02-27T15:07:45Z"",""status"":""ISSUED"",""nextRenewalDate"":""2026-04-14T08:44:35Z"",""managingLou"":""5299000J2N45DDNE4Y28"",""corroborationLevel"":""FULLY_CORROBORATED"",""validatedAt"":{""id"":""RA000242"",""other"":null},""validatedAs"":""HRA 15378"",""otherValidationAuthorities"":[]},""bic"":[""WMDSDEFFXXX""],""mic"":null,""ocid"":""de/M1201_HRA15378"",""qcc"":""QDE106VWMH"",""spglobal"":[""34180212""],""conformityFlag"":""CONFORMING""}"
field-modifications,871e4c1e-9761-4954-a276-03b2b766acd5,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationAuthority/lei:ValidationAuthorityEntityID"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""01811870490"",""context"":null}"
field-modifications,6124e2ed-4d7e-4b65-b28a-f9dcdcd4caed,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationAuthority/lei:ValidationAuthorityID"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""RA000407"",""context"":null}"
field-modifications,90733539-1e21-407f-99c0-f90900c02744,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationSources"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""FULLY_CORROBORATED"",""context"":null}"
field-modifications,bbc89b96-c242-428d-8e29-0188825d7d0c,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ManagingLOU"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""5299000J2N45DDNE4Y28"",""context"":null}"
field-modifications,15fef44f-c61e-41b3-a3d5-436122a3af27,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:NextRenewalDate"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2026-08-21T16:22:11+02:00"",""context"":null}"
field-modifications,1c4567f5-0012-4956-8f48-386f1d409113,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:RegistrationStatus"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""ISSUED"",""context"":null}"
field-modifications,27135f92-3eb2-4218-abb8-62daad183555,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:LastUpdateDate"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2025-08-21T16:22:11+02:00"",""context"":null}"
field-modifications,0cdf7e4a-c3ec-4708-98f3-e2af7aff71df,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:InitialRegistrationDate"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2025-08-21T16:22:11+02:00"",""context"":null}"
field-modifications,63376a7f-cb79-41d3-beb9-e56545ae4769,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityCreationDate"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2015-03-30T00:00:00+02:00"",""context"":null}"
field-modifications,14141f02-45b1-438b-94a6-b6c8d7e80018,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityStatus"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""ACTIVE"",""context"":null}"
field-modifications,0e58e4cd-405a-40da-9401-f1e4b8366a76,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:LegalForm/lei:EntityLegalFormCode"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""8GU1"",""context"":null}"
field-modifications,681c4f31-5097-428e-87d9-27e8924ede24,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityCategory"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""GENERAL"",""context"":null}"
field-modifications,e603f210-d84b-4043-88b7-6a44c2c95bc7,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:LegalJurisdiction"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""IT"",""context"":null}"
field-modifications,01723dc5-a093-4a61-9890-c2c3357f6939,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:RegistrationAuthority/lei:RegistrationAuthorityEntityID"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""01811870490"",""context"":null}"
field-modifications,995e0ada-2a8f-411c-91e8-1d5ea5bd4b0e,field-modifications,"{""lei"":""5299000538WSYEJDLN70"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:RegistrationAuthority/lei:RegistrationAuthorityID"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""RA000407"",""context"":null}"
relationshipType,id,type,attributes
lei-issuer,5299000J2N45DDNE4Y28,lei-issuers,"{""lei"":""5299000J2N45DDNE4Y28"",""name"":""WM Datenservice"",""marketingName"":""WM Datenservice"",""website"":""https://www.wm-leiportal.org/"",""accreditationDate"":""2017-04-13T00:00:00+00:00""}"
managing-lou,5299000J2N45DDNE4Y28,lei-records,"{""lei"":""5299000J2N45DDNE4Y28"",""entity"":{""legalName"":{""name"":""Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann GmbH & Co. KG"",""language"":""de""},""otherNames"":[],""transliteratedOtherNames"":[],""legalAddress"":{""language"":""de"",""addressLines"":[""Sandweg 94""],""addressNumber"":null,""addressNumberWithinBuilding"":null,""mailRouting"":null,""city"":""Frankfurt am Main"",""region"":""DE-HE"",""country"":""DE"",""postalCode"":""60316""},""headquartersAddress"":{""language"":""de"",""addressLines"":[""Sandweg 94""],""addressNumber"":null,""addressNumberWithinBuilding"":null,""mailRouting"":null,""city"":""Frankfurt am Main"",""region"":""DE-HE"",""country"":""DE"",""postalCode"":""60316""},""registeredAt"":{""id"":""RA000242"",""other"":null},""registeredAs"":""HRA 15378"",""jurisdiction"":""DE"",""category"":""GENERAL"",""legalForm"":{""id"":""8Z6G"",""other"":null},""associatedEntity"":{""lei"":null,""name"":null},""status"":""ACTIVE"",""expiration"":{""date"":null,""reason"":null},""successorEntity"":{""lei"":null,""name"":null},""successorEntities"":[],""creationDate"":""2004-11-30T23:00:00Z"",""subCategory"":null,""otherAddresses"":[],""eventGroups"":[{""groupType"":""STANDALONE"",""events"":[{""validationDocuments"":""SUPPORTING_DOCUMENTS"",""effectiveDate"":""2024-10-20T22:00:00Z"",""recordedDate"":""2024-10-21T17:20:18Z"",""type"":""CHANGE_HQ_ADDRESS"",""status"":""COMPLETED""}]},{""groupType"":""STANDALONE"",""events"":[{""validationDocuments"":""SUPPORTING_DOCUMENTS"",""effectiveDate"":""2024-10-20T22:00:00Z"",""recordedDate"":""2024-10-21T17:20:18Z"",""type"":""CHANGE_LEGAL_ADDRESS"",""status"":""COMPLETED""}]}]},""registration"":{""initialRegistrationDate"":""2013-04-03T11:47:18Z"",""lastUpdateDate"":""2025-02-27T15:07:45Z"",""status"":""ISSUED"",""nextRenewalDate"":""2026-04-14T08:44:35Z"",""managingLou"":""5299000J2N45DDNE4Y28"",""corroborationLevel"":""FULLY_CORROBORATED"",""validatedAt"":{""id"":""RA000242"",""other"":null},""validatedAs"":""HRA 15378"",""otherValidationAuthorities"":[]},""bic"":[""WMDSDEFFXXX""],""mic"":null,""ocid"":""de/M1201_HRA15378"",""qcc"":""QDE106VWMH"",""spglobal"":[""34180212""],""conformityFlag"":""CONFORMING""}"
field-modifications,8c4a9ae5-85e2-4d14-9ee8-f7e3b0c27102,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationAuthority/lei:ValidationAuthorityEntityID"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""HRB 103907"",""context"":null}"
field-modifications,f45f2b5e-fa8c-4390-bd6b-fd496abee95b,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationAuthority/lei:ValidationAuthorityID"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""RA000228"",""context"":null}"
field-modifications,157294cc-7401-4caa-b284-f0e1b15f1a64,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationSources"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""FULLY_CORROBORATED"",""context"":null}"
field-modifications,181ad765-9204-4d86-8a17-bdcba9612b93,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ManagingLOU"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""5299000J2N45DDNE4Y28"",""context"":null}"
field-modifications,c79d1232-edd6-4ab4-8019-4943d7525dd4,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:NextRenewalDate"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2026-08-21T16:19:36+02:00"",""context"":null}"
field-modifications,3fe6991d-0ab6-4ac7-8328-284649c8e83a,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:RegistrationStatus"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""ISSUED"",""context"":null}"
field-modifications,264ad714-ae5e-49e4-b38b-e6875f3a08bc,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:LastUpdateDate"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2025-08-21T16:19:36+02:00"",""context"":null}"
field-modifications,54d5b755-07a8-4afa-8b8f-a8889a3b73c3,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:InitialRegistrationDate"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2025-08-21T16:19:36+02:00"",""context"":null}"
field-modifications,53085c1a-46b5-4222-b981-4d5d23b2b159,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityCreationDate"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2022-09-02T00:00:00+02:00"",""context"":null}"
field-modifications,abdf1e25-0782-4655-b27a-a2c081cf88bc,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityStatus"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""ACTIVE"",""context"":null}"
field-modifications,4875faab-acb4-4269-b718-5917e3a843b4,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:LegalForm/lei:EntityLegalFormCode"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""2HBR"",""context"":null}"
field-modifications,6ca6a45d-10b5-42d9-aa1f-3d12be5f9a51,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:EntityCategory"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""GENERAL"",""context"":null}"
field-modifications,398f528b-94fe-49c1-8448-93320ebb7050,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:LegalJurisdiction"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""DE"",""context"":null}"
field-modifications,12a6045d-f62c-4f69-b16b-cd12cb9c5e44,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:RegistrationAuthority/lei:RegistrationAuthorityEntityID"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""HRB 103907"",""context"":null}"
field-modifications,e0d4fc6b-c89f-4974-a58e-c49dfb5cbadf,field-modifications,"{""lei"":""529900UNGSPLF4VKEQ66"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Entity/lei:RegistrationAuthority/lei:RegistrationAuthorityID"",""date"":""2025-08-21T16:00:00Z"",""valueOld"":null,""valueNew"":""RA000228"",""context"":null}"
relationshipType,id,type,attributes
lei-issuer,529900T8BM49AURSDO55,lei-issuers,"{""lei"":""529900T8BM49AURSDO55"",""name"":""Ubisecure Oy"",""marketingName"":""Ubisecure RapidLEI"",""website"":""https://www.rapidlei.com"",""accreditationDate"":""2018-04-03T00:00:00+00:00""}"
